n,m,hilow
0,0,low
1,3,hi
2,6,hi
4,5,low
7,10,low
8,14,low
9,17,low
13,18,low
16,23,low
11,25,hi
12,28,hi
20,29,low
19,31,low
22,32,low
15,35,hi
26,37,low
27,40,low
21,48,hi
34,49,low
33,50,low
36,54,low
24,55,hi
38,59,low
41,60,low
43,65,low
30,68,hi
47,70,low
51,75,low
52,78,low
57,82,low
56,84,low
39,87,hi
61,91,low
64,93,low
42,94,hi
62,95,low
66,98,low
44,99,hi
45,102,hi
46,105,hi
71,106,low
74,108,low
73,109,low
72,111,low
53,120,hi
81,121,low
86,123,low
88,129,low
58,131,hi
89,132,low
92,134,low
90,135,low
96,140,low
63,142,hi
97,143,low
101,148,low
67,151,hi
69,156,hi
107,157,low
110,159,low
113,164,low
112,165,low
114,168,low
76,171,hi
77,174,hi
119,175,low
116,176,low
79,179,hi
80,182,hi
126,184,low
122,186,low
127,188,low
83,189,hi
128,191,low
85,194,hi
133,195,low
136,202,low
139,204,low
137,205,low
145,214,low
144,215,low
147,217,low
150,222,low
100,225,hi
103,232,hi
158,233,low
104,235,hi
160,236,low
163,237,low
162,239,low
161,241,low
166,244,low
167,252,low
172,253,low
173,256,low
115,258,hi
177,259,low
117,263,hi
118,266,hi
180,268,low
183,269,low
185,274,low
124,279,hi
187,280,low
125,282,hi
192,283,low
198,288,low
197,289,low
196,290,low
130,293,hi
199,295,low
201,302,low
208,306,low
203,308,low
210,309,low
138,310,hi
212,315,low
141,317,hi
218,322,low
146,328,hi
221,329,low
224,331,low
149,335,hi
226,336,low
227,339,low
230,341,low
152,342,hi
231,344,low
153,345,hi
154,348,hi
155,351,hi
238,352,low
240,355,low
242,358,low
243,363,low
246,365,low
249,367,low
250,371,low
255,372,low
247,374,low
254,376,low
169,380,hi
257,381,low
170,383,hi
262,385,low
260,386,low
264,392,low
267,397,low
178,400,hi
272,404,low
181,407,hi
277,410,low
278,413,low
281,415,low
284,420,low
286,423,low
190,426,hi
291,429,low
292,432,low
193,433,hi
296,435,low
297,438,low
300,442,low
299,443,low
298,445,low
200,448,hi
307,452,low
206,461,hi
313,463,low
